company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
OUTBOUNDWORKS INC,Other Technology,outboundworks.co,ALAMEDA,CA,94501,(415) 810-9769,2017,8,"Ben Sardella, Bryan Franklin, Travis Wallis",Philip Black,2249999,2249999,Seed,01-11-2017,,,,,,abhay@outboundworks.co
OUTCOME REFERRALS INC,Other Technology,outcomereferrals.com,Framingham,MA,1701,(508) 834-7323,,,David R. Kraus,,1900000,1900000,Pre-Seed,05-08-2025,,,,,,info@outcomereferrals.com
OUTCOMEMD INC,Other Health Care,outcomemd.com,LOS ANGELES,CA,90069,(310) 867-3255,2016,9,"Casey J. McGlynn, Hooman Fakki, Jean Paty, Justin Saliman","Farhad Mohit, Hooman Faki, James J. Dal Pozzo, Kerry Assil, Saurabh Suri",27956481,17623968,Series B,06-06-2025,,,,,,support@outcomemd.com
OUTBOUNDENGINE INC,Other Technology,outboundengine.com,AUSTIN,TX,78701,(512) 693-4963,2010,15,"Branndon Stewart, Frank Livaudais, Frank Livaudals, Scott Leese, Tom Sloss","Gene Austin, Henrik Johansson, Michael Elliot, Mike Maples, Mike Maples, Jr., Morgan Flager, Rajiv Bala",43999984,17999992,Series B,22-04-2016,,,,,,success@outboundengine.com
OUTLIERS INC,Other Health Care,outliers.com,NEW YORK,NY,10010,(646) 647-3599,,,Daniel Freed,Rachel Harris,15391167,15391167,Series A,13-04-2023,,,,,,info@outliers.com
OUTPOST TECHNOLOGIES CORP,Other,outpost.com,SANTA MONICA,CA,90404,(650) 735-2045,2021,4,"Jason Dunn, Michael Vergalla","Aaron Kemmer, Craig Cummings",7134709,7134709,Series A,22-08-2022,,,,,,premium@godaddy.com
OUTREACH CORP,Other Technology,outreach.io,SEATTLE,WA,98119,(888) 928-7356,,,"Andrew Leland Kinzer, Anna Baird, Anna Leland Baird, Gordon Leland Hempton, Manuel Medina, Melissa Leland Fisher, Pete Leland Price","Karan Leland Mehandru, Rajeev Leland Batra, Ralph Leland de la Vega, Samuel Leland Fort, Sandash Leland Patnam, Sarah Imbach, Sarah Leland Imbach, Sue Leland Bostrom",459757655,201026674,Series D+,27-05-2021,48,0,100,168250,"['Staff Software Engineer, Corporate Engineering', ' Senior Applied Scientist', 'Senior Software Engineer', 'Staff Software Engineer']",pr@outreach.io; hr@outreach.io; security@outreach.io
OUTWARD INC,Other Technology,outward.io,SAN JOSE,CA,95112,(415) 572-8683,2012,13,Clarence Chui,"Gaurav Sethi, Peter Hsing, Salman Ullah",13513980,7000000,Seed,07-09-2016,,,,,,james@outward.io
OVERGRAD INC,Other Technology,overgrad.com,CHICAGO,IL,60604,(312) 324-4952,,,"Kevin Hoffman, Ryan Hoch",,2413298,2413298,Seed,09-09-2019,,,,,,hello@overgrad.com
OVERJET INC,Other,overjet.com,BOSTON,MA,2109,(617) 949-0380,2018,7,Wardah Inam,"Chris Bischoff, Deepak Ramaswamy, Habib Haddad, James Montgomery, Lonne Jaffe, Phil Boyer",91821183,56719860,Series C,16-02-2024,48,2,96,195000,"['Software Engineer ', 'Principal Product Manager - Machine Learning', 'Machine Learning Engineer II', 'Principal Product Manager – Machine Learning', 'Engagement Manager']",press@overjet.ai; marketing@overjet.ai; info@overjet.ai
OVERLAY INC,Other Technology,overlay.com,PACIFIC PALISADES,CA,90272,(201) 321-0921,2018,7,"Adam Kay, Michael Feldman",Wesley Kay,3353350,2217215,Seed,16-02-2021,,,,,,hello@overlay.com; hello@overlayrobots.com
OVERTIME SPORTS INC,Other Technology,overtime-sports.com,BROOKLYN,NY,11201,(718) 569-8031,2016,9,"Daniel Porter, Farzeen Ghorashy, Zachary Weiner","Daymond John, Josef Hoelscher, Kelly Flynn, Ken Miller, Michael Spirito",116999850,104999850,Series D+,02-08-2022,,,,,,info@overtime-sports.com
OWL LABS INC,Other Technology,owl-labs.com,SOMERVILLE,MA,2145,(941) 928-2621,2014,11,"Maksim Makeev, Mark Schnittman",Antonio Rodriguez,6000000,6000000,Series A,04-08-2016,,,,,,office@owl-labs.com
OWLCHEMY LABS INC,Other Technology,owlchemylabs.com,AUSTIN,TX,78759,(203) 560-8034,2016,9,"Alex Schwartz, Reimer Devin",Tapalaga Richard,5000000,5000000,Series A,29-07-2016,,,,,,info@owlchemylabs.com; owlchemysupport@google.com
OXYGEN INC,Other,oxygen.com,SAN FRANCISCO,CA,94105,(866) 287-7021,2017,8,Hussein Ahmed,Andre Bliznyuk,12526056,12526056,Series A,21-12-2020,,,,,,oxygen-contact@versantmedia.com
OZE INC,Other Technology,oze.io,CAMBRIDGE,MA,2138,(610) 291-5122,2018,7,"David Emnett, Meghan McCormick",,1000000,1000000,Pre-Seed,24-07-2018,,,,,,info@brandbucket.com; sales@brandbucket.com
P1 TRIALS INC,Business Services,p1trials.com,SEATTLE,WA,98121,(425) 324-9157,2024,1,"Jorge Chaves, Julio Peguero, Ron Carozza",Mark Nelson,4000000,4000000,Pre-Seed,01-11-2024,,,,,,info@p1trials.com
PACE DIAGNOSTICS INC,Biotechnology,pacediagnostics.com,Monrovia,CA,91016,(714) 791-1774,2017,8,"Hiep-Hoa Anthony T. Nguyen, Lorne T. Mattner",Marianne T. Nguyen,5000000,5000000,Pre-Seed,06-10-2017,,,,,,contact@pacediagnostics.com
PACGENOMICS,Biotechnology,pacgenomics.com,AGOURA HILLS,CA,91301,(310) 927-0643,2011,14,,"James Zhou, Lian Liu, Man Li, Xinmin Li, Youming Hang",4500000,3000000,Seed,24-12-2014,2,0,100,70574,['Business Analyst'],info@pacgenomics.com
PACIFIC VOLT INC,Other Energy,pacificvolt.com,POULSBO,WA,98370,(360) 930-8283,2016,9,"GREG WIEGAND, WAYNE SMITH, WOLFGANG STRUSS","ELIHU RUBIN, MICHAL BALLARD",4825000,4825000,Pre-Seed,04-04-2019,,,,,,gwiegand@pacificvolt.com
PACIFICBRIDGE CAPITAL LLC,Other Technology,pacificbridge.com,NEW YORK,NY,10022,(646) 694-2516,,,"Andrew Louis Economos, Paul Louis Scibetta, Thomas Louis Scibetta",,11470000,1000000,Pre-Seed,11-01-2021,,,,,,contact@pacificbridgemedical.com
PACK4U INC,Other Health Care,pack4u.com,MOUNTAIN VIEW,CA,94043,(312) 953-9230,2017,8,"Rahul Chopra, Shane Bishop","Nick Loporcaro, Patrick J. Quinlan, Terry J. Bayer",25000000,25000000,Series A,06-04-2021,,,,,,info@customhealth.com; help@customhealth.com
PACKETFABRIC INC,Other Technology,packetfabric.com,CULVER CITY,CA,90232,(844) 475-8322,2019,6,"Chad Milam, David Ward, Huanhuan Gilmore, Jezzibell Gilmore","Christopher Dedicoat, David Sachs, Michael Glickman, Neil Sheridan, Richard Shrotri, Rick Shrotri, Vasa Babic",451740380,372680980,Series D+,24-03-2023,,,,,,sales@packetfabric.com
PADCASTER LLC,Other Technology,padcaster.com,NEW YORK,NY,10011,(881) 391-4050,,,"Jonathan Goldberg, Josh Apter",,2000000,2000000,Pre-Seed,23-05-2018,,,,,,info@padcaster.com
PAD SQUAD LLC,Other Technology,padsquad.com,NEW YORK,NY,10001,(917) 463-3541,2012,13,"Daniel Meehan, Daniel P. Meehan",,2275119,1275000,Pre-Seed,05-10-2017,,,,,,jobs@padsquad.com
PAGARI LIFE SCIENCE CORP,Pharmaceuticals,pagarilifescience.com,BETHALTA,IL,62010,(314) 920-8321,2022,3,"David Feldker, James Wickenhauser, Marni Zenkewicz, Stephen Peipert",,4000000,4000000,Pre-Seed,23-05-2025,,,,,,info@pagarils.com
PAGE STREET PUBLISHING CO,Other,pagestreetpublishing.com,SALEM,MA,1970,(978) 594-8785,,,"Pattianne Folta, William Kiester","Ed Welsh, Mark Bertelsen, Matthew Kennell, Robert Hill",1500000,1500000,Pre-Seed,25-06-2025,,,,,,info@pagestreetpublishing.com; media@pagestreetpublishing.com; orders@mpsvirginia.com
PAGE VAULT INC,Other Technology,page-vault.com,CHICAGO,IL,60654,(312) 487-1871,2013,12,"Jeffrey Eschbach, Stephen Nazaran, Todd Price",Joseph Prochaska,3249997,1749997,Pre-Seed,13-05-2016,,,,,,support@page-vault.com; ondemand@page-vault.com; info@page-vault.com
PAGER INC,Other,pager.com,NEW YORK,NY,10013,(212) 242-1828,2013,12,"Gaspard de Dreuzy, Philip Eytan, Phillip Eytan, Walter Jin","Adam Goulburn, Adam Skeete Goulburn, Charles D. Boorady, Darren Dworkin, Eric Kim, Gaspard de Dreuzy, Lisa Skate Tatum, Lisa Skeete Tatum, Oscar Salazar, Steven Shulman, Todd Kimmel, Todd Skeete Kimmel, Walter Jin, William D. Georges",106580577,50000001,Series B,04-06-2021,10,0,100,112332,['Senior QA Analyst'],hello@pagerhealth.com
PAIGEAI INC,Other Health Care,paigeai.com,NEW YORK,NY,10036,(347) 972-2040,2017,8,"Carla Leibowitz, Carla Martin Leibowitz, Christina Andrew Segro, David Andrew Andreasson, David Andrew Klimstra, Leo Grady, Peter Andrew Hamilton, Thomas Fuchs, William Andrew Moye","Alex Robertson, Antoine Andrew Munfa, Asish Andrew Xavier, Asish Xavier, David Castelblanco, Eli Andrew Casdin, Eric Cottington, Jeffrey Andrew Lightcap, Jeffrey Lightcap, Jim Breyer, Kenan Turnacioglu, Norman Selby, Robert Galvin, Thomas Andrew Fuchs, Thomas Fuchs, Thomas Kelly",260039853,38999891,Series B,02-03-2023,18,0,100,225000,"['Staff Engineer', 'Front End Engineer']",info@paige.ai
PAGERDUTY INC,Other Technology,pagerduty.com,SAN FRANCISCO,CA,94103,(415) 805-7070,,,"Dan Alexandr Solomon, Howard Alexandr Wilson, Jennifer Alexandr Tejada, Jennifer Alexandru Tejada, Stacey Alexandr Giamalis, Steven Alexandru Gatoff","Andrew Alexandr Miklas, Andrew Miklas, Dan Alexandru Solomon, Ethan Alexandr Kurzweil, Ethan Alexandru Kurzweil, John Alexandr O'Farrell, John Alexandru O'Farrell, Zachary Alexandr Nelson",133801767,90000029,Series C,24-08-2018,,,,,,sales@pagerduty.com
PAINT NITE LLC,Other,paintnite.com,SOMERVILLE,MA,2143,(617) 272-5154,2012,13,"Dan Hermann, Sean McGrail","Peter Cornetta, Smaiyra Million",13225000,13225000,Series A,05-02-2015,,,,,,hello@paintnite.com
PAINTED DOG INC,Other Technology,painteddog.com,NEW YORK,NY,10012,(646) 725-8660,2013,12,"Jared Browarnik, Tyler Cooper, Vincent Crossley",Terence Kooyker,2000000,2000000,Pre-Seed,06-08-2014,,,,,,interested@domainmarket.com
PAIDLY INC,Other Technology,paidly.co,FAIRPORT,NY,14450,(585) 820-2025,2024,1,"Gregory Kohl, John Scully",John Andrews,2000000,2000000,Pre-Seed,22-11-2024,,,,,,logan@shimmerlabs.co
PAK'D INC,Other,pakd.com,Chicago,IL,60622,(214) 287-2531,2016,9,"Nathan Cooper, Rebecca Sholiton",,4802000,1500000,Pre-Seed,15-08-2017,,,,,,pak@pakd.com
PALADIN DRONES INC,Other Technology,paladindrones.com,HOUSTON,TX,77042,(614) 377-5297,,,Divyaditya Shrivastava,Sudheer Gaddam,21078621,18078621,Series B,11-08-2025,,,,,,team@paladindrones.io
PAKMULE LLC,Other,pakmule.com,New Braunfels,TX,78130,(713) 726-4141,,,Kansas Sartin,,1600000,1600000,Pre-Seed,19-04-2023,,,,,,info@pakmule.com
PALADIN TECHNOLOGIES INC,Other Technology,paladintechnologies.com,SOLANA BEACH,CA,92075,(858) 947-0101,,,Alan Lewis,"Carlo Saggese, John Cloyd, Kurt Kalbfleisch",1000000,1000000,Pre-Seed,15-02-2019,2,0,100,111883,['Quality Assurance Manager'],info@paladintechnologes.com
PALADIN POWER INC,Manufacturing,paladinpower.com,Murrieta,CA,92562,(310) 986-1298,2022,3,"Bill Alexander, Derek Cahill, Nathan Hightower, Ted Thomas",,1200000,1200000,Pre-Seed,15-09-2022,,,,,,sales@paladinpower.com
PALE LLC,Other,pale.io,NEW YORK,NY,10036,(212) 575-0828,2016,9,"Jessica R. Jenen, LLC SMP GP,, LLC Stacey Mindich Productions,, Limited Liability Company JRJ Productions, Stacey Mindich",,,,,,,,,,,vince@pale.io
PALLAS SECURITY INC,Other Technology,pallassecurity.com,MOUNTAIN VIEW,CA,94043,(408) 416-1668,2024,1,Huagang Xie,Philip Collins,4000000,4000000,Seed,07-01-2025,,,,,,hello@pallassecurity.com; careers@pallassecurity.com
PALLIDUS INC,Other Technology,pallidus.com,ALBANY,NY,12203,(800) 608-1314,2015,10,"GLENN SANDGREN, George Davis, Glenn Sandgren, HAP HEWES, Hap Hewes, Mark Land","Cooper Rinzler, Cooper T. Rinzler, DAVID GIVEN, David Given, Jim Heddleson, John Kurtzweil, John T. Kurtzweil, MARK LAND, Mark Land, Richard Clemmer, Richard L. Clemmer, Walden Rhines, Walden T. Rhines",286750000,70000000,Series B,05-12-2023,,,,,,info@pallidus.com
PALISADE BIO INC,Biotechnology,palisadebio.com,CARLSBAD,CA,92009,(858) 704-4900,,,"Herbert Slade, J.D. Finley, JD Finley, Mitchell Jones, Robert McRae, Thomas Hallam","Binxian C Wei, Binxian Wei, Cristina Csimma, Donald C Williams, Donald Williams, James Neal, James R Neal, Margery Fischbein, Mary Ann C Gray, Mary Ann Gray, Robert Trenschel, Stephanie C Diaz, Stephanie Diaz",15361991,3999942,Seed,06-05-2024,,,,,,info@palisadebio.com; PALI@jtcir.com
PAN AFRICA AIRLINES LTD,Airlines and Airports,panafricaairlines.com,THE BRONX,NY,10451,(718) 619-0578,,,LeROY GILLEAD,,,,,,,,,,,service@atom.com
PANAMPLIFY INC,Other,panamplify.com,DALLAS,TX,75207,(914) 309-4191,2013,12,Michael Pratt,,1100000,1100000,Pre-Seed,21-12-2015,,,,,,info@panamplify.com
PANASAS INC,Other Technology,panasas.com,SUNNYVALE,CA,94085,(888) 726-2727,,,"Faye Pairman, Randall Elliot Carpenter","Andre Elliot Hakkak, David Elliot Wiley, Jonathan Elliot Lister, Jorge Elliot Titinger, Robert Elliot Cihra",7999999,7999999,Seed,14-01-2019,4,0,100,65936,['Technical Support Engineer'],info@vdura.com
PANDA AI INC,Other Technology,pandaai.com,SEATTLE,WA,98103,(206) 979-0690,2020,5,"Aaron Goldfeder, Yue Ning",Michael Galgon,3463329,3463329,Seed,18-08-2020,,,,,,help@makeshop.co.kr
PANAVISION INC,Other,panavision.com,WOODLAND HILLS,CA,91367,(818) 316-1000,,,"DERRICK OSMOND BOSTON, Derrick Osmond Boston, KIMBERLY ANN SNYDER, Kimberly Ann Snyder, MARK WILLIAM HOWORTH, MELANIE SIMS FRANK, Mark William Howorth, Melanie Sims Frank, WILLIAM CHARLES ROBERTS, William Charles Roberts","Craig Robert Chobor, Marc Robert Millman, PETER ANN KIRCHOF, ROBERT ANN BURKE, ROBERT ANN DAVENPORT, ROBERT ANN DEL GENIO, Robert Robert Burke, Robert Robert Del Genio, Robert Robert Solomon, STEVEN ANN GENDEL",215480125,210480125,Series D+,12-06-2015,,,,,,info@panavision.com; atlanta@panavision.com; vancouver.receptionist@panavision.com; newyork@panavision.com; halifax@panavision.com; calgary@panavision.com; vancouver@panavision.com; neworleans@panavision.com; albuquerque@panavision.com; chicago@panavision.com; toronto@panavision.com; panastore@panavision.com; dallas@panavision.com; cape@islandstudio.net; sydney@panavision.asia; manchester@panavision.co.uk; bonjour@direct-digital.com; info@islandstudio.net; auckland@panavision.asia; info@panavision.pl; info@panastoreonline.co.uk; info@panavision.co.uk; info@panavision.be; belfast@panavision.co.uk; info@panavision.za.com; manchester@panalux.biz; dublin@panavision.ie; queensland@panavision.asia; hello@direct-digital.com; capetown@panalux.biz; sales@johnbarry.com.au; gold@islandstudio.net; lyon@panavision.fr; info@panalux.fr; london@panavision.co.uk; manchester@direct-digital.com; boutique@panavision.fr; johannesburg@panalux.biz; infos-marseille@panavision.fr; info@panalux.be; glasgow@panalux.biz; info@panavision.cz; infos@panavision.fr; rentals@panalux.biz; enquiries@luminarylighting.co.uk; melbourne@panavision.asia
PANDORA BIO INC,Other Technology,pandorabio.com,SUNNYVALE,CA,94087,(408) 828-2997,2022,3,"Megan Rothney, Tara Maddala",Jason Carlson,1000000,1000000,Pre-Seed,17-05-2023,,,,,,tara@pandorabio.com
PANOPEN INC,Other Technology,panopen.com,NEW YORK,NY,10017,(000) 000-0000,2013,12,Brian Jacobs,"Chad V. Chandlee, Heather V. Parker, Jack Chorowsky, John V. Dennis, Paul V. Cartter, Randy Shuken",4850285,1152970,Pre-Seed,22-10-2020,,,,,,support@panopen.com
PANTERRA NETWORKS INC,Telecommunications,panterranetworks.com,Santa Clara,CA,95054,(408) 702-2200,,,"Arthur Chang, Jeff Boucher","Alex Wong, Andre Turenne, Edward Esber",2000000,2000000,Pre-Seed,14-12-2016,,,,,,%20sales@panterranetworks.com; info@panterranetworks.com; sales@panterranetworks.com
PANTHEON INVESTORS LP,Other,pantheoninvestors.com,SAN FRANCISCO,CA,94111,(415) 983-2700,2014,11,Rajeev Amara,,10000000,10000000,Series A,13-08-2014,,,,,,info@pantheonfundinggroup.com
PANORAMA EDUCATION INC,Other Technology,panoramaeducation.com,Boston,MA,2108,(617) 356-8123,,,"Aaron Feuer, Andrew Ting, Katie Mallett","Alexander Tanner, Amit Patel, Ross Jensen, Tanzeen Syed",5780754,5780754,Series A,15-02-2023,,,,,,support@panoramaed.com; contact@panoramaed.com
PANZURA INC,Computers,panzura.com,CAMPBELL,CA,95008,(408) 457-8504,,,"John Taylor, Patrick Harr","Andrew Verhalen, Gill Cogan, Mark Santora, Paul Madera",32926020,32926020,Series B,16-12-2016,,,,,,pr@panzura.com; support@panzura.com; peopleops@panzura.com
PAPERLESS INC,Other Technology,paperless.io,NEW YORK,NY,10006,(212) 242-1234,,,"Alexa Hirschfeld, James Hirschfeld, Margaret Hirschfeld","Charles Heilbronn, Eric Wiesen, Ram Shriram, Tripp Jones",24750000,24750000,Series B,15-04-2014,,,,,,support@paperless.io
PANTHEON SYSTEMS INC,Other Technology,pantheon-systems.com,SAN FRANCISCO,CA,94108,(855) 927-9387,2010,15,"Mark Khavkin, Zachary Rosen","Adam Gross, Chris Moody, Edward A Gilhuly, Rory O'Driscoll, Ryan McIntyre",91758848,41499991,Series C,14-02-2019,20,0,100,80566,['Associate Software Engineer'],info@pantheon-systems.com
PAPERSPACE CO,Other Technology,paperspace.com,BROOKLYN,NY,11201,(718) 619-4325,2014,11,"Daniel Alexander Kobran, Daniel Kobran, Dillon Erb, Dillon Thompson Erb","Lucas Alexander Nelson, Yaniv Alexander Suissa",31756001,10000000,Series A,10-05-2021,,,,,,media@paperspace.com; partnership@paperspace.com; hello@paperspace.com
PARADROMICS INC,Other Health Care,paradromics.com,AUSTIN,TX,78759,(512) 559-4120,2015,10,"Edmund Huber, Helmy Eltoukhy, James Burrows, Matt Angle, Matthew Angle, Matthew R Angle","Adam Kablanian, Adam R Kablanian, Amy Kruse, Court Westcott, Dakin Sloss, Edmund Huber, Enke Bashllari, Enke R Bashllari, Enkelejda Bashllari, Ron Kelly, Ron R Kelly, Thomas Krummel, Thomas R Krummel, Yifan Kong, Zia Huque",145003010,51012815,Series C,21-03-2023,8,0,100,179338,"['Manager, Electrical Engineering']",info@paradromics.com; media@paradromics.com; spend@paradromics.com
PARADIGM CONNECT INC,Other Technology,paradigm-connect.com,NEW YORK,NY,10005,(646) 844-1836,2017,8,"Anand Gomes, David Sylvan, Sharaf Nassar",Jason Best,3000000,3000000,Seed,22-05-2020,6,0,100,140250,['Software Development Engineer- Test'],leigh@paradigm-connect.com; julia@paradigm-connect.com
PARAGONIX TECHNOLOGIES INC,Other Technology,paragonix-technologies.com,CAMBRIDGE,MA,2142,(617) 648-9100,,,Lisa Anderson,"Alexander Arrow, Carl Rickenbaugh, DeWitt Davenport, John Cammett, John McDermott",23678459,23678459,Series B,03-03-2023,,,,,,info@paragonixtechnologies.com
PARALLEL FLUIDICS INC,Other Technology,parallelfluidics.com,Boston,MA,2127,(781) 423-3811,2020,5,"Andrew Harris, Joshua Gomes",Matthew Blodgett,5530367,4030367,Seed,09-12-2022,,,,,,info@parallelfluidics.com
PARALLEL MARKETS INC,Other,parallelmarkets.com,NEW YORK,NY,10011,(617) 880-4592,2020,5,"Brian Muller, Lawrence Peccatiello, Nicholas Goss","Brian Muller, Daniel Gulati, John Buttrick",22882741,11318879,Series A,24-03-2023,,,,,,info@parallelmarkets.com
PARENTSQUARE INC,Other,parentsquare.com,Goleta,CA,93117,(805) 452-5106,2014,11,"Anapamu Vaid, Anupama Vaid, Sohit Wadhwa","John Petote, Lance Rankin, Navid Oreizy, Tom Kenny",55924673,40877106,Series C,29-07-2021,,,,,,info@parentsquare.com
PARITY PARTNERS LLC,Other Technology,parity.com,NEW YORK,NY,10021,(917) 826-2285,2016,9,"Beth Haggerty, Deborah Bronston-Culp",,1000000,1000000,Pre-Seed,05-11-2019,,,,,,ontact@parity.com
PARK PLACE PAYMENTS INC,Business Services,parkplacepayments.com,Woodland Hills,CA,91367,(917) 855-2587,2021,4,"Samantha Ettus, Timothy Ettus",,3457000,3457000,Seed,19-03-2019,,,,,,info@solutycars.com
PARKER MARITIME TECHNOLOGIES LLC,Other,parkermaritimetechnologies.com,Argyle,TX,76226,(929) 465-1988,2021,4,"Jenifer Austin Parker, Katherine Austin Brinson, T Michael Moseley, William J Parker III, William Parker III","Jack M. Ray, Jiyoung M. DeSombre, Nitin M. Mehta, Teed M. Moseley",9812174,4812174,Seed,07-08-2024,,,,,,info@parkermaritimetechnologies.com
PARKER DEWEY LLC,Other,parkerdewey.com,CHICAGO,IL,60654,(312) 767-8601,2015,10,Jeffrey B. Moss,,1000000,1000000,Pre-Seed,24-01-2018,,,,,,info@parkerdewey.com
PARLAYPLAY INC,Other Technology,parlayplay.io,BROOKLYN,NY,11211,(888) 680-0405,2020,5,"Florens Roell, Olivier Go, Rutger Go",Shayne Khanna,6731959,4999999,Seed,14-06-2024,,,,,,support@parlayplay.io
PARLEVEL SYSTEMS INC,Other Technology,parlevelsystems.com,SAN ANTONIO,TX,78205,(210) 200-8873,2012,13,"Gabriel P Senior, Gabriel P. Senior, Gabriel Senior, Luis P. Gonzalez, Luis Pablo-Gonzalez, Walter Teele-Vera","Allan P. Paterson, Allan Paterson, Gabriel P Senior, Gurvinder P Singh, Mike P. Troy, Mike Troy",7498500,3000000,Pre-Seed,31-01-2017,,,,,,Outsidesales@365rm.com
PARSELY INC,Other Technology,parsely.com,NEW YORK,NY,10016,(212) 920-6846,,,"Andrew Montalenti, Chris Gottschalk, Sachin Kamdar, Steve Fredrick",,6896360,6896360,Series A,25-07-2017,,,,,,support@parsely.com
PARTICLE HEALTH INC,Other Technology,particlehealth.com,NEW YORK,NY,10011,(206) 963-1236,2017,8,"Dan Horbatt, Troy Bannister","Greene Taylor, Greg Yap, Jeff Lee, Rebecca Lynn, Taylor Greene",39343922,25000000,Series B,01-07-2022,,,,,,media@particlehealth.com
PARSLEY HEALTH INC,Other,parsleyhealth.com,NEW YORK,NY,10003,(646) 258-9393,2016,9,Robin Berzin,Catherine Ulrich,15207094,12807094,Series A,30-03-2018,,,,,,enrollment@parsleyhealth.com; marketing@parsleyhealth.com; nyc@parsleyhealth.com; la@parsleyhealth.com; press@parsleyhealth.com
PARTICLE INC,Other Technology,particle.io,Seattle,WA,98101,(206) 903-1351,2020,5,"Phillip A. Bosua, Ronald P. Erickson",,4000000,4000000,Pre-Seed,01-07-2020,16,0,100,190000,"['Information Systems Manager, Machine Learning']",name@company.com
PARTSTECH INC,Other Technology,partstech.com,CAMBRIDGE,MA,2142,(866) 308-5193,,,"Carl John Gustafson, Gregory Kirber","Andreas Andorfer, Brad Fiedler, Daniel Briere, Enrico Manuele, Erik St. Pierre, Shaun Healey, Tim John Keebler",37540000,15000000,Series A,05-05-2023,,,,,,info@partstech.com
PARTUM HEALTH INC,Other Health Care,partumhealth.com,CHICAGO,IL,60657,(312) 516-2422,2020,5,Meghan Doyle,"Kerry Rupp, Matthew Rogers",4604000,4604000,Seed,26-05-2023,,,,,,hello@partumhealth.com
PARZIVAL INC,Other,parzival.com,BOSTON,MA,2118,(954) 609-6642,2013,12,Lonnie Kurlander,Glenn Willen,1500000,1500000,Pre-Seed,13-03-2014,,,,,,cateclother@camphillsoltane.org
PARX SOLUTIONS INC,Other Technology,parxsolutions.com,BURLINGTON,MA,1803,(781) 365-1953,,,"Daniel Rubin, Howard O'Connor Rodenstein, Robert Bain","Lynn O'Connor Vos, Michael Evanisko",4414848,4414848,Seed,04-05-2015,,,,,,information@PARxSolutions.com
PASATIEMPO INC,Other,pasatiempo.com,SANTA CRUZ,CA,95060,(831) 459-9155,,,"Bill Aragona, Bob Beachler, DAVID DRENNAN, Emily Chorba, TODD MILLSLAGLE, WILLIAM ARAGONA","BERN WHITNEY, David Mills, EMILY CHORBA, JOHN ZETTERQUIST, MICHAEL ZABALLOS, Michael Zaballos",4000000,4000000,Seed,28-02-2011,,,,,,sargo@pasatiempo.com
PASSES INC,Other,passes.com,Los Angeles,CA,90046,(925) 596-8005,2022,3,Lucy Guo,,17566000,17566000,Series B,29-04-2022,,,,,,press@passes.com
PASSBASE INC,Other Technology,passbase.com,New York,NY,10013,(908) 328-3907,2018,7,"David McGibbon, Mathias Klenk, Mattias Klenk","David McGibbon, Ted Wang",13776992,10000000,Series A,19-11-2021,,,,,,info@parallelmarkets.com
PASSIONFLIX INC,Other,passionflix.com,Los Angeles,CA,90066,(310) 279-9796,2018,7,"Joan Elizabeth Kane, Marianne Jina Panebianco, TOSCA MUSK, Tosca Musk",,25600000,4000000,Pre-Seed,09-04-2021,,,,,,support@passionflix.com
PASSTHROUGH INC,Other Technology,passthrough.com,NEW YORK,NY,10003,(646) 396-3519,2020,5,"Alexandre LaPlante, Benjamin Doran, Timothy Flannery",Samuel Cates,10000000,10000000,Series A,22-11-2022,,,,,,sales@passthrough.com
PASTEL HEALTH INC,Computers,pastel-health.com,SAN FRANCISCO,CA,94107,(571) 358-2032,2024,1,"Gregory Jacob Volynsky, Samuel Mark Damashek",,3000000,3000000,Seed,05-09-2024,,,,,,hello@pastel-health.com
PATHFINDER HEALTH LLC,Other Health Care,pathfinder-health.com,LAKE FOREST,IL,60045,(847) 686-7284,,,"Carl M Noble, III, George S Priniski, Jr., John Y Noble, Scott M Morcott",,1197000,1197000,Pre-Seed,12-12-2014,,,,,,info@pathfinder-health.com
PATHPOINT INC,Other Technology,pathpoint.com,SAN FRANCISCO,CA,94104,(415) 985-6781,2017,8,Alexander Bargmann,"Alexander Hartz, Baabak Touran",30906770,30906770,Series B,21-02-2020,,,,,,compliance@pathpoint.com; support@pathpoint.com
PATHMATICS INC,Other,pathmatics.com,SANTA MONICA,CA,90401,(424) 625-8512,2012,13,"Gabriel Gottlieb, Thomas Lorimor","Simcha Blaustein, Steven Dietz, Thomas Lorimor",4840000,3080000,Seed,23-07-2015,,,,,,apps44@sensortower.com; support@sensortower.com
PATHWARE INC,Other Health Care,pathware.com,Seattle,WA,98121,(206) 312-4611,2017,8,"Jaron Derek Nix, John ""TJ"" Meyer, Michael Moore","Austin Derek Duke, Michael Derek Thomas, Richard Derek Philpott",10096451,10096451,Series A,22-10-2021,,,,,,contact@pathware.com
PATIENTFI INC,Other Technology,patientfi.com,IRVINE,CA,92618,(866) 734-5979,,,"Cory Bradley Ruell, Derrick Bradley Hoag, Joe Bradley Ranieri, Jon Bradley Roberts, Todd Watts","Gerard Cuddy, H. Bradley Sloan, Louis Bucky, Tom Cestare",54434114,15000000,Series B,10-03-2025,,,,,,info@patientfi.com; Success@PatientFi.com; hello@patientfi.com; Success@Patientfi.com
